AppID,Name,Tag,Developers,Publishers,Positive Reviews,Negative Reviews,Median Owners,Average Playtime,Median Playtime,CCU,Price,Initial Price,Discount
783060,AIDEN,Indie,TheElvenTale Games,TheElvenTale Games,18,25,10000,0,0,0,2.99,2.99,0
1061600,Dodge the Wall,Indie,Space Dog XR,Space Dog XR,18,6,10000,0,0,0,0.00,0.00,0
582960,LIT,Indie,WayForward,WayForward GamePump,19,5,10000,0,0,0,5.99,5.99,0
1036270,Bug Aviators in Theme Park,Indie,Yorunoatochi,,20,10,10000,0,0,0,0.00,0.00,0
393600,Robot Exploration Squad,Indie,Jack Dolabany,DolaSoft,20,7,10000,0,0,0,2.99,2.99,0
671330,Lit the Torch,Indie,Corn Entertainment,IceSimba,20,0,10000,0,0,0,0.99,0.99,0
759800,Everyday Lite,Indie,Luis Eduardo Guedes Martins,Fables of Laetus,20,10,10000,0,0,0,0.00,0.00,0
765260,Overhead,Indie,Labory,SA Industry,21,13,10000,0,0,0,0.89,8.99,90
847900,DeathTolls Experience,Indie,Ali Eslami,XRBASE,21,1,10000,0,0,0,0.00,0.00,0
1160880,Pauls World,Indie,Cloaz Studio,Cloaz Studio,21,3,10000,0,0,0,1.99,1.99,0
688680,Oswalds Adventure,Indie,Dede Bayi,MLG Games,22,7,10000,0,0,0,2.99,2.99,0
1295570,Amends VR,Indie,Amends Team,The Animation Workshop,22,4,10000,0,0,0,0.00,0.00,0
